n,b_z
1071,3.199700
1072,3.198231
1073,3.196772
1074,3.199805
1075,3.199541
1076,3.198666
1077,3.197564
1078,3.196351
1079,3.195075
1080,3.193760
1081,3.192417
1082,3.191057
1083,3.189683
1084,3.188300
1085,3.186909
1086,3.185513
1087,3.184113
1088,3.182710
1089,3.181304
1090,3.179897
1091,3.178489
1092,3.177079
1093,3.175669
1094,3.174260
1095,3.172850
1096,3.171440
1097,3.170031
1098,3.168622
1099,3.167214
1100,3.165807
1101,3.164401
1102,3.162995
1103,3.161591
1104,3.160188
1105,3.158786
1106,3.157385
1107,3.155985
1108,3.154587
1109,3.153190
1110,3.151794
1111,3.150400
1112,3.149007
1113,3.147616
1114,3.146226
1115,3.149257
1116,3.149049
1117,3.148242
1118,3.147211
1119,3.146070
1120,3.144868
1121,3.143626
1122,3.142358
1123,3.141072
1124,3.139773
1125,3.138464
1126,3.137148
1127,3.135826
1128,3.134501
1129,3.133171
1130,3.131840
1131,3.130507
1132,3.129172
1133,3.127837
1134,3.126500
1135,3.125164
1136,3.123827
1137,3.122491
1138,3.121155
1139,3.119819
1140,3.118484
1141,3.117149
1142,3.115815
1143,3.114482
1144,3.113150
1145,3.111819
1146,3.110489
1147,3.109159
1148,3.107831
1149,3.106504
1150,3.105179
1151,3.103854
1152,3.102531
1153,3.101208
1154,3.099888
1155,3.098568
1156,3.097253
1157,3.100274
1158,3.100116
1159,3.099369
1160,3.098403
1161,3.097330
1162,3.096195
1163,3.095022
1164,3.093823
1165,3.092606
1166,3.091376
1167,3.090136
1168,3.088889
1169,3.087637
1170,3.086380
1171,3.085120
1172,3.083858
1173,3.082593
1174,3.081328
1175,3.080061
1176,3.078793
1177,3.077525
1178,3.076257
1179,3.074989
1180,3.073721
1181,3.072453
1182,3.071186
1183,3.069919
1184,3.068653
1185,3.067387
1186,3.066123
1187,3.064859
1188,3.063595
1189,3.062333
1190,3.061072
1191,3.059812
1192,3.058553
1193,3.057294
1194,3.056037
1195,3.054781
1196,3.053527
1197,3.052273
1198,3.051024
1199,3.054035
1200,3.053922
1201,3.053231
1202,3.052324
1203,3.051312
1204,3.050239
1205,3.049129
1206,3.047993
1207,3.046839
1208,3.045672
1209,3.044496
1210,3.043313
1211,3.042124
1212,3.040930
1213,3.039734
1214,3.038534
1215,3.037333
1216,3.036131
1217,3.034927
1218,3.033722
1219,3.032517
1220,3.031312
1221,3.030106
1222,3.028900
1223,3.027695
1224,3.026490
1225,3.025285
1226,3.024081
1227,3.022877
1228,3.021674
1229,3.020472
1230,3.019270
1231,3.018070
1232,3.016870
1233,3.015671
1234,3.014472
1235,3.013275
1236,3.012079
1237,3.010884
1238,3.009689
1239,3.008496
1240,3.007307
1241,3.010306
1242,3.010235
1243,3.009595
1244,3.008742
1245,3.007786
1246,3.006770
1247,3.005717
1248,3.004639
1249,3.003543
1250,3.002435
1251,3.001316
1252,3.000191
1253,2.999060
1254,2.997925
1255,2.996787
1256,2.995645
1257,2.994502
1258,2.993357
1259,2.992211
1260,2.991064
1261,2.989917
1262,2.988769
1263,2.987621
1264,2.986473
1265,2.985325
1266,2.984177
1267,2.983029
1268,2.981882
1269,2.980735
1270,2.979589
1271,2.978443
1272,2.977298
1273,2.976154
1274,2.975010
1275,2.973867
1276,2.972725
1277,2.971584
1278,2.970444
1279,2.969304
1280,2.968166
1281,2.967028
1282,2.965894
1283,2.968880
1284,2.968846
1285,2.968252
1286,2.967450
1287,2.966545
1288,2.965581
1289,2.964581
1290,2.963556
1291,2.962513
1292,2.961458
1293,2.960394
1294,2.959322
1295,2.958245
1296,2.957163
1297,2.956078
1298,2.954990
1299,2.953900
1300,2.952809
1301,2.951716
1302,2.950622
1303,2.949528
1304,2.948433
1305,2.947338
1306,2.946242
1307,2.945147
1308,2.944052
1309,2.942957
1310,2.941862
1311,2.940768
1312,2.939674
1313,2.938580
1314,2.937487
1315,2.936395
1316,2.935303
1317,2.934212
1318,2.933122
1319,2.932032
1320,2.930944
1321,2.929856
1322,2.928769
1323,2.927682
1324,2.926598
1325,2.929570
1326,2.929570
1327,2.929019
1328,2.928262
1329,2.927405
1330,2.926489
1331,2.925537
1332,2.924561
1333,2.923568
1334,2.922562
1335,2.921547
1336,2.920525
1337,2.919497
1338,2.918464
1339,2.917428
1340,2.916390
1341,2.915349
1342,2.914307
1343,2.913263
1344,2.912219
1345,2.911173
1346,2.910127
1347,2.909081
1348,2.908035
1349,2.906988
1350,2.905941
1351,2.904895
1352,2.903849
1353,2.902803
1354,2.901757
1355,2.900712
1356,2.899667
1357,2.898623
1358,2.897579
1359,2.896536
1360,2.895494
1361,2.894452
1362,2.893411
1363,2.892370
1364,2.891331
1365,2.890292
1366,2.889253
1367,2.888223
1368,2.891177
1369,2.891207
1370,2.890695
1371,2.889981
1372,2.889168
1373,2.888298
1374,2.887392
1375,2.886461
1376,2.885514
1377,2.884555
1378,2.883586
1379,2.882610
1380,2.881628
1381,2.880643
1382,2.879653
1383,2.878661
1384,2.877667
1385,2.876671
1386,2.875674
1387,2.874676
1388,2.873677
1389,2.872677
1390,2.871677
1391,2.870676
1392,2.869676
1393,2.868675
1394,2.867675
1395,2.866674
1396,2.865674
1397,2.864674
1398,2.863675
1399,2.862675
1400,2.861677
1401,2.860678
1402,2.859681
1403,2.858683
1404,2.857687
1405,2.856691
1406,2.855695
1407,2.854701
1408,2.853707
1409,2.852716
1410,2.855656
1411,2.855715
1412,2.855240
1413,2.854565
1414,2.853792
1415,2.852963
1416,2.852099
1417,2.851211
1418,2.850306
1419,2.849388
1420,2.848462
1421,2.847528
1422,2.846589
1423,2.845646
1424,2.844699
1425,2.843750
1426,2.842798
1427,2.841844
1428,2.840889
1429,2.839933
1430,2.838976
1431,2.838018
1432,2.837060
1433,2.836101
1434,2.835143
1435,2.834184
1436,2.833225
1437,2.832266
1438,2.831308
1439,2.830349
1440,2.829391
1441,2.828433
1442,2.827476
1443,2.826519
1444,2.825562
1445,2.824606
1446,2.823651
1447,2.822696
1448,2.821741
1449,2.820787
1450,2.819834
1451,2.818882
1452,2.817936
1453,2.820858
1454,2.820942
1455,2.820500
1456,2.819862
1457,2.819127
1458,2.818336
1459,2.817511
1460,2.816663
1461,2.815797
1462,2.814920
1463,2.814033
1464,2.813140
1465,2.812241
1466,2.811337
1467,2.810430
1468,2.809521
1469,2.808609
1470,2.807695
1471,2.806780
1472,2.805864
1473,2.804947
1474,2.804029
1475,2.803111
